dataset,domain,label_pct,chronos2,patchtst,itransformer,mae,hepa,metric,hepa_domain,sota_domain,ref
C-MAPSS-1,Turbo.,100,0.66±0.00,0.80±0.04,0.70±0.05,0.69±0.02,0.81±0.03,RMSE↓,28.5,12.2,[2]
C-MAPSS-1,Turbo.,10,0.66±0.00,0.69±0.08,0.59±0.04,0.63±0.12,0.78±0.07,,,17.0,
C-MAPSS-2,Turbo.,100,0.45±0.01,0.44±0.03,0.43±0.03,0.56±0.01,0.57±0.01,RMSE↓,40.8,20.0,[2]
C-MAPSS-2,Turbo.,10,0.46±0.02,0.48±0.08,0.50±0.08,0.52±0.01,0.55±0.01,,,40.9,43.1,
C-MAPSS-3,Turbo.,100,0.73±0.00,0.79±0.01,0.76±0.01,0.78±0.02,0.84±0.01,RMSE↓,34.7,12.7,[2]
C-MAPSS-3,Turbo.,10,0.67±0.00,0.77±0.03,0.64±0.06,0.78±0.03,0.84±0.03,,,47.1,21.8,
C-MAPSS-4,Turbo.,100,,0.52±0.03,0.45±0.02,0.57±0.02,0.63±0.02,,,,
C-MAPSS-4,Turbo.,10,,0.51±0.04,0.49±0.04,0.52±0.04,0.55±0.03,,,,
SMAP,Spacecraft,100,0.54±0.02,0.49±0.03,0.47±0.05,0.64±0.04,0.59±0.05,PA-F1↑,0.94,0.96,[3]
SMAP,Spacecraft,10,0.51±0.01,0.46±0.05,0.50±0.15,0.49±0.08,0.49±0.08,,0.92,0.96,
PSM,Server,100,0.55±0.01,0.55±0.02,0.52±0.03,0.56±0.02,0.57±0.02,PA-F1↑,0.94,0.98,[3]
PSM,Server,10,0.51±0.01,0.43±0.03,0.53±0.01,0.52±0.02,0.48±0.04,,0.95,0.98,
MBA,Cardiac,100,0.53±0.10,0.68±0.07,0.65±0.08,0.73±0.03,0.75±0.03,F1↑,0.98,0.77,LSTM-AE
MBA,Cardiac,10,0.50±0.07,0.65±0.08,0.51±0.05,0.55±0.04,0.55±0.13,,0.98,0.81,
BATADAL,ICS,100,0.56±0.01,0.66±0.03,0.46±0.13,0.60±0.04,0.57±0.03,F1↑,0.77,0.74,AEED
BATADAL,ICS,10,0.55±0.04,0.37±0.04,0.54±0.08,0.61±0.08,0.54±0.06,,0.61,0.33,
TEP,Chemical,100,,0.99±0.02,0.93±0.02,0.96±0.02,1.00±0.00,,0.95,0.93,XGBoost
TEP,Chemical,10,,1.00±0.00,0.94±0.05,0.99±0.00,1.00±0.00,,0.88±0.03,0.86,
ETTm1,Power,100,0.74±0.01,0.53±0.03,0.79±0.03,0.87±0.00,0.87±0.00,,,0.81±0.00,
ETTm1,Power,10,0.68±0.02,0.50±0.03,0.61±0.02,0.77±0.02,0.77±0.01,,,,
Weather,Climate,100,0.72±0.02,0.64±0.08,0.83±0.04,0.88±0.02,0.89±0.01,,,,,
Weather,Climate,10,0.71±0.02,0.67±0.03,0.85±0.01,0.83±0.02,0.83±0.02,,,,
BeijingAQ,Air,100,0.53±0.00,0.81±0.01†,0.75±0.02,0.81±0.01,0.81±0.01,,,,
BeijingAQ,Air,10,0.49±0.00,0.65±0.08,0.73±0.02,0.77±0.01,0.78±0.02,,,,
VIX,Finance,100,0.40±0.04,0.48±0.11,0.40±0.14,0.57±0.03,0.57±0.01,,,,
VIX,Finance,10,0.39±0.04,0.57±0.13,0.45±0.05,0.55±0.03,0.55±0.01,,,,
GECCO,Water,100,0.74±0.02,0.65±0.07,0.64±0.15,0.81±0.04,0.88±0.06,,,,
GECCO,Water,10,0.80±0.03,0.52±0.11,0.50±0.13,0.55±0.11,0.39±0.13,,,,
